ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
1,Bur Dubai,Studio,1,504,27,High-Rise,Furnished,Burj Khalifa View,Excellent,0,563000,1117,34000,8725,2025-05-21,22
2,Business Bay,4 BR,4,3314,52,Serviced Apartment,Furnished,Pool View,Good,1,7481000,2257,547000,63536,2024-06-11,73
3,Business Bay,4 BR,3,2455,34,Mid-Rise,Semi-Furnished,Garden View,New,1,5733000,2335,450000,58372,2023-06-29,65
4,Palm Jumeirah,4 BR,3,2285,52,Villa Compound,Furnished,Garden View,Excellent,2,9161000,4009,720000,45659,2024-11-14,98
5,Arjan,3 BR,2,1733,45,Low-Rise,Semi-Furnished,Canal View,Excellent,0,2515000,1451,179000,40484,2023-01-19,83
6,Jumeirah Village Circle (JVC),1 BR,1,841,30,Serviced Apartment,Semi-Furnished,Park View,Average,2,869000,1033,60000,15690,2024-02-10,149
7,Dubai Silicon Oasis,4 BR,3,3346,5,High-Rise,Semi-Furnished,Garden View,Good,0,3129000,935,192000,64919,2024-02-21,66
8,Downtown Dubai,Studio,1,578,39,Serviced Apartment,Furnished,Street View,New,2,1623000,2808,99000,12839,2024-09-14,41
9,Al Barsha,3 BR,3,2013,33,Low-Rise,Unfurnished,Pool View,New,2,2323000,1154,174000,29024,2023-07-05,174
10,International City,5+ BR,4,5645,55,Mid-Rise,Furnished,City View,New,2,4750000,841,372000,108978,2024-03-20,52
11,Jumeirah Lakes Towers (JLT),4 BR,3,2234,36,High-Rise,Furnished,Canal View,Excellent,1,4827000,2161,312000,51251,2025-03-03,91
12,DIFC,Studio,1,574,57,Low-Rise,Semi-Furnished,Street View,Excellent,0,1798000,3132,120000,9793,2022-06-14,15
13,Al Nahda,3 BR,3,1733,57,Low-Rise,Furnished,Sea View,Good,0,1951000,1126,115000,29460,2025-04-05,29
14,Palm Jumeirah,3 BR,2,2171,10,High-Rise,Furnished,Park View,New,0,7928000,3652,640000,34425,2022-02-22,91
15,Dubai South,4 BR,4,2910,29,Serviced Apartment,Furnished,Park View,Excellent,1,2443000,840,165000,56426,2022-03-09,180
16,Mirdif,3 BR,2,1512,21,High-Rise,Furnished,Park View,Average,1,1469000,972,94000,37080,2024-05-06,32
17,Dubai Hills Estate,4 BR,4,2546,17,Mid-Rise,Semi-Furnished,Garden View,Average,2,4125000,1620,246000,37365,2023-12-15,98
18,Al Nahda,4 BR,3,2917,45,High-Rise,Furnished,Burj Khalifa View,Good,2,3451000,1183,285000,69934,2022-09-22,84
19,Jumeirah Lakes Towers (JLT),2 BR,2,1120,30,Mid-Rise,Furnished,Sea View,New,2,2317000,2069,193000,22083,2022-08-19,114
20,Oud Metha,5+ BR,4,5133,18,High-Rise,Unfurnished,City View,New,2,6630000,1292,446000,126637,2024-08-30,129
21,Bur Dubai,Studio,1,636,56,Villa Compound,Furnished,Sea View,New,2,780000,1226,45000,14614,2024-01-18,5
22,Bur Dubai,4 BR,3,2067,8,Villa Compound,Semi-Furnished,Burj Khalifa View,Good,1,1984000,960,138000,48533,2024-06-09,69
23,Al Barsha,4 BR,4,3051,41,Low-Rise,Unfurnished,Burj Khalifa View,Average,1,3013000,988,203000,70071,2025-03-18,125
24,Oud Metha,Studio,1,527,31,High-Rise,Semi-Furnished,Pool View,Good,0,575000,1091,45000,10062,2025-01-06,15
25,Arjan,5+ BR,4,3863,34,High-Rise,Unfurnished,Pool View,New,1,4228000,1094,260000,48000,2022-02-09,105
26,Al Jaddaf,Studio,1,438,56,Low-Rise,Unfurnished,Street View,Excellent,0,512000,1169,35000,10315,2022-07-18,33
27,Remraam,3 BR,3,1746,23,Low-Rise,Furnished,Pool View,Average,1,1369000,784,98000,21949,2022-11-19,48
28,Dubai Silicon Oasis,3 BR,3,1593,9,High-Rise,Furnished,Canal View,Excellent,2,2026000,1272,140000,24478,2024-06-05,169
29,Al Jaddaf,4 BR,3,3243,28,Mid-Rise,Unfurnished,Burj Khalifa View,Excellent,0,4432000,1367,346000,67110,2024-01-24,137
